Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash,tech_group
ERR12724679,2025/1/1 0:47,2025/2/15 23:45,32485277.0,9745583100.0,32485277.0,300.0,2988.0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/ERR012/12724/ERR12724679/ERR12724679.lite.1,ERX12099088,Stranded RNA-seq,RNA-Seq,RANDOM PCR,TRANSCRIPTOMIC,PAIRED,0.0,0.0,ILLUMINA,Illumina NovaSeq 6000,ERP157467,PRJEB72688,,1204689.0,ERS18289147,SAMEA115294644,simple,4565.0,Triticum aestivum,Ta_RNASEQ3,,,,,,,no,,,,,AGROSCOPE,ERA29265012,,public,A99B36253F2EE50C9DC98D3EE0B1FDD4,7ADEB2C5C1865285C7A32FB91606DCF0,ILLUMINA_RNA-Seq_PAIRED
ERR12724408,2024/12/31 23:06,2025/2/15 3:43,1808772.0,3444973566.0,0.0,1904.0,3006.0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-run-38/ERR012/12724/ERR12724408/ERR12724408.1,ERX12098907,eccDNA-seq,OTHER,RANDOM PCR,GENOMIC,SINGLE,0.0,0.0,OXFORD_NANOPORE,PromethION,ERP157467,PRJEB72688,,1204689.0,ERS18289151,SAMEA115294648,simple,4565.0,Triticum aestivum,Ta_Arina_eccDNA1,,,,,,,no,,,,,AGROSCOPE,ERA29264822,,public,C7E73F46EA3659268F429A8EC5263D6C,90CCB0600452D6181556D1712089935A,OXFORD_NANOPORE_OTHER_SINGLE
ERR16977911,2026/4/8 0:50,2026/4/8 15:33,22713105.0,63762686856.0,0.0,2807.0,55768.0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-run-1001/ERR016/16977/ERR16977911/ERR16977911.1,ERX16361477,,WGS,RANDOM,GENOMIC,SINGLE,0.0,0.0,OXFORD_NANOPORE,PromethION,ERP157467,PRJEB72688,,1204689.0,ERS29506613,SAMEA122002067,simple,4565.0,Triticum aestivum,SAMEA122002067,,,,,,,no,,,,,AGROSCOPE,ERA36060343,,public,F55E17FA5821CB5A87B32A0F18BD85C7,7A838915B1ECF70C7F48772E705F8EB4,OXFORD_NANOPORE_WGS_SINGLE
SRR5051139,2017/6/27 16:07,2016/11/23 22:31,411331.0,206488162.0,411331.0,502.0,119.0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR005/051/SRR5051139/SRR5051139.sralite.1,SRX2372569,,OTHER,other,GENOMIC,PAIRED,0.0,0.0,ILLUMINA,Illumina MiSeq,SRP093854,PRJNA354815,2.0,354815.0,SRS1817255,SAMN06052015,simple,39947.0,Oryza sativa Japonica Group,GSM2402734,,,,,,,no,,,,,GEO,SRA498625,,public,2C573787BA00524D511E81DBC32AAE14,D567463D0B99887EAA2CD55CD5E1D4FB,ILLUMINA_OTHER_PAIRED
SRR10163236,2020/3/10 1:20,2019/9/23 11:19,31949919.0,9584975700.0,31949919.0,300.0,3003.0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/163/SRR10163236.sralite.1,SRX6888620,root4,WGS,RANDOM,GENOMIC,PAIRED,0.0,0.0,ILLUMINA,Illumina HiSeq 3000,SRP222959,PRJNA572559,,572559.0,SRS5421632,SAMN12793229,simple,3702.0,Arabidopsis thaliana,eccDNA_root,,,,,,,no,,,,,SHANDONG AGRICULTURAL UNIVERSITY,SRA965221,,public,EE01D17DEB3495975340E7C504125921,49B0FED4DEA098F49575A311A3581FD1,ILLUMINA_WGS_PAIRED
SRR13922190,2022/4/22 3:25,2021/3/10 9:18,651930.0,263022374.0,651930.0,403.0,181.0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR013/13922/SRR13922190/SRR13922190.lite.1,SRX10301654,K10w_mob,OTHER,RANDOM,OTHER,PAIRED,0.0,0.0,ILLUMINA,Illumina MiSeq,SRP310078,PRJNA712991,,712991.0,SRS8423638,SAMN18238198,simple,4039.0,Daucus carota,K10w_mob,,,,,,,no,,,,,UNIVERSITY OF AGRICULTURE IN KRAKOW,SRA1204764,,public,56F4979E316879A4F95AA9DE76D77F13,C723ED856EFB8873649E95050BE1BE40,ILLUMINA_OTHER_PAIRED
SRR16958684,2021/11/16 15:51,2021/11/16 15:44,65791.0,474514869.0,0.0,7212.0,176.0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR016/16958/SRR16958684/SRR16958684.lite.1,SRX13150263,md_r,AMPLICON,RANDOM PCR,GENOMIC,SINGLE,0.0,0.0,PACBIO_SMRT,PacBio RS,SRP346396,PRJNA780915,,780915.0,SRS11082595,SAMN23211513,simple,107608.0,Amaranthus palmeri,md_r,,,,,,,no,,,,,CLEMSON UNIVERSITY,SRA1330260,,public,DF227544A1CA68B72E99BFEDEBBEA6E8,A181841DD0D45BDA5A91A1BEDEA18C07,PACBIO_SMRT_AMPLICON_SINGLE
SRR24335769,2023/4/28 13:05,2023/4/28 12:52,5253439.0,775495229.0,0.0,147.0,450.0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR024/24335/SRR24335769/SRR24335769.lite.1,SRX20128603,K15,OTHER,RANDOM,GENOMIC,PAIRED,0.0,0.0,ILLUMINA,Illumina MiSeq,SRP435029,PRJNA961124,,961124.0,SRS17457180,SAMN34352793,simple,3702.0,Arabidopsis thaliana,eccDNA Illumina MiSeq polIV rep1,,,,,,,no,,,,,IRD,SRA1626308,,public,081D2402604E31F829AC0A4170178C34,666D683982F810972D4A59AF3B0A2C68,ILLUMINA_OTHER_PAIRED
SRR24335764,2023/4/28 13:05,2023/4/28 12:57,241650.0,1037819415.0,0.0,4294.0,820.0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-run-936/SRR024/24335/SRR24335764/SRR24335764.1,SRX20128608,FAH80614,OTHER,RANDOM,GENOMIC,SINGLE,0.0,0.0,OXFORD_NANOPORE,MinION,SRP435029,PRJNA961124,,961124.0,SRS17457184,SAMN34352798,simple,3702.0,Arabidopsis thaliana,eccDNA MinION ddm1 polIV rdr6 rep1,,,,,,,no,,,,,IRD,SRA1626308,,public,3CD523299723F151083743DE7B84E3F3,542AB41975ED780FC7F6A9B739E89BEC,OXFORD_NANOPORE_OTHER_SINGLE
SRR24335759,2023/4/28 13:07,2023/4/28 13:03,3888097.0,6900061407.0,0.0,1774.0,6170.0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-run-936/SRR024/24335/SRR24335759/SRR24335759.1,SRX20128613,FAK46256,WGS,RANDOM,GENOMIC,SINGLE,0.0,0.0,OXFORD_NANOPORE,MinION,SRP435029,PRJNA961124,,961124.0,SRS17457190,SAMN34352802,simple,3702.0,Arabidopsis thaliana,gDNA MinION ddm1 polIV rdr6 rep1,,,,,,,no,,,,,IRD,SRA1626308,,public,2744C937DFA91C5D6A2848A311E31D16,282E387295C6ED18D4ED153C0D6FED2B,OXFORD_NANOPORE_WGS_SINGLE
SRR24693341,2023/5/23 4:52,2023/5/23 4:44,490838.0,1237792569.0,0.0,2521.0,1068.0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-run-936/SRR024/24693/SRR24693341/SRR24693341.1,SRX20472395,eccDNA_WT_stress_ABA_rep2,OTHER,other,GENOMIC,SINGLE,0.0,0.0,OXFORD_NANOPORE,MinION,SRP439050,PRJNA975338,,975338.0,SRS17784683,SAMN35324029,simple,3702.0,Arabidopsis thaliana,ABA2,,,,,,,no,,,,,ALL-RUSSIA REASEARCH INSTITURE FOR AGRICULTURAL BIOTECHNOLOGY,SRA1642381,,public,442CFFCDE8E422075615B43898935823,9A3A2BF8FDD0E92D986ECAD9E069170E,OXFORD_NANOPORE_OTHER_SINGLE
SRR26069822,2023/9/15 11:14,2023/9/15 10:00,92112.0,555821200.0,0.0,6034.0,216.0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR026/26069/SRR26069822/SRR26069822.1,SRX21785581,CC5R,AMPLICON,unspecified,GENOMIC,SINGLE,0.0,0.0,PACBIO_SMRT,Sequel II,SRP460731,PRJNA1017797,,1017797.0,SRS18888106,SAMN37408033,simple,81473.0,Alopecurus myosuroides,bg_eccDNA_3,,,,,,,no,,,,,CLEMSON UNIVERSITY,SRA1712685,,public,9D8737CA7D46C6EC9C6A0428C8EAB72B,27CC903CBB480560A4176B31211B15F4,PACBIO_SMRT_AMPLICON_SINGLE
SRR28004411,2024/2/19 8:32,2024/2/19 8:28,64000.0,180375555.0,0.0,2818.0,155.0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-run-936/SRR028/28004/SRR28004411/SRR28004411.1,SRX23656940,Za,AMPLICON,other,GENOMIC,SINGLE,0.0,0.0,OXFORD_NANOPORE,MinION,SRP490261,PRJNA1077878,,1077878.0,SRS20489035,SAMN39983545,simple,4081.0,Solanum lycopersicum,eccDNA_merged_ZA,,,,,,,no,,,,,ALL-RUSSIA REASEARCH INSTITURE FOR AGRICULTURAL BIOTECHNOLOGY,SRA1804264,,public,FF1E7E64D6D0189DA6CB9C5463719D9C,64BAE38B63CC81BF8A9CBBED8E6906E9,OXFORD_NANOPORE_AMPLICON_SINGLE
SRR30359587,2025/3/10 19:07,2024/8/24 2:04,935872.0,14019760898.0,0.0,14980.0,4576.0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-run-38/SRR030/30359/SRR30359587/SRR30359587.1,SRX25817528,AMAPA_MSR2_2_HiFi,WGS,RANDOM,GENOMIC,SINGLE,0.0,0.0,PACBIO_SMRT,Sequel IIe,SRP528384,PRJNA1151833,,1151833.0,SRS22447600,SAMN43324593,simple,107608.0,Amaranthus palmeri,MSR2 - plant 2 - Gly + Glu-R HiFi reads,,,,,,,no,,,,,MICHIGAN STATE UNIVERSITY,SRA1954783,,public,376FD063B528050B3B4BC87E59ED60CA,8279C803B50AF273D31DFA221943DE73,PACBIO_SMRT_WGS_SINGLE
SRR31773426,2024/12/19 3:27,2024/12/19 3:22,380826.0,1000305153.0,0.0,2626.0,857.0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-run-38/SRR031/31773/SRR31773426/SRR31773426.1,SRX27135085,PST7,WGS,RANDOM,GENOMIC,SINGLE,0.0,0.0,OXFORD_NANOPORE,MinION,SRP552546,PRJNA1200253,,1200253.0,SRS16014713,SAMN32122148,simple,4232.0,Helianthus annuus,AZ_24HS,,,,,,,no,,,,,ALL-RUSSIA REASEARCH INSTITURE FOR AGRICULTURAL BIOTECHNOLOGY,SRA2037606,,public,E14F17D70751BCCE68123CD7548999EF,A76F7A41F978A06E26425929069F43BD,OXFORD_NANOPORE_WGS_SINGLE
SRR32429748,2025/2/21 18:11,2025/2/21 18:00,18645927.0,5929404786.0,18645927.0,318.0,1959.0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32429/SRR32429748/SRR32429748.lite.1,SRX27758750,NGS-220636AB,WGS,RANDOM,GENOMIC,PAIRED,0.0,0.0,ILLUMINA,Illumina HiSeq 2500,SRP565534,PRJNA1226626,,1226626.0,SRS24144059,SAMN46950743,simple,4100.0,Nicotiana benthamiana,BYVMV DNA A + BETASATELLITE,,,,,,,no,,,,,MADURAI KAMARAJ UNIVERSITY,SRA2081832,,public,FB0D896A7513719D46A84214C2B49057,3C5F8F6AA691BF97A377D0EB3C574500,ILLUMINA_WGS_PAIRED
SRR36603441,2025/12/26 1:58,2025/12/26 1:56,255247.0,390666818.0,0.0,1530.0,341.0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-run-936/SRR036/36603/SRR36603441/SRR36603441.1,SRX31616063,Nb_ecc_TRV_p19,OTHER,other,GENOMIC,SINGLE,0.0,0.0,OXFORD_NANOPORE,PromethION,SRP658070,PRJNA1393863,,1393863.0,SRS27591829,SAMN54314673,simple,4100.0,Nicotiana benthamiana,Nb_ecc_TRV_p19,,,,,,,no,,,,,ALL-RUSSIA REASEARCH INSTITURE FOR AGRICULTURAL BIOTECHNOLOGY,SRA2305745,,public,3FE65CF62F4C8DDC9BE971B96519DDDD,09E0542D435667A9876A2B16E5BB4A22,OXFORD_NANOPORE_OTHER_SINGLE
