Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
ERR10889831,2023/8/19 9:13,2023/8/22 17:27,50737948,15221384400,50737948,300,8445,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/ERR010/10889/ERR10889831/ERR10889831.lite.1,ERX10333377,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP144157,PRJEB59090,,1006968,ERS14644716,SAMEA112646987,simple,4530,Oryza sativa,SAMEA112646987,,,,,,,no,,,,,"NATIONAL CENTER FOR GENE RESEARCH, CHINESE ACADEMY",ERA20613015,,public,0E788B2C1C2D1B8CA878297BB4A49147,2A58AC88B93E2FE49DCC3E4A3F092134
ERR10889832,2023/8/19 9:13,2023/8/22 17:20,36261811,10878543300,36261811,300,6162,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/ERR010/10889/ERR10889832/ERR10889832.lite.1,ERX10333378,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP144157,PRJEB59090,,1006968,ERS14644716,SAMEA112646987,simple,4530,Oryza sativa,SAMEA112646987,,,,,,,no,,,,,"NATIONAL CENTER FOR GENE RESEARCH, CHINESE ACADEMY",ERA20613015,,public,A16B224ADE391F330A9F7D724B6E7733,AA16518A404799F12A837D5D7C7DCF18
ERR10889833,2023/8/19 9:13,2023/8/22 17:36,74462771,22338831300,74462771,300,12528,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/ERR010/10889/ERR10889833/ERR10889833.lite.1,ERX10333379,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP144157,PRJEB59090,,1006968,ERS14644716,SAMEA112646987,simple,4530,Oryza sativa,SAMEA112646987,,,,,,,no,,,,,"NATIONAL CENTER FOR GENE RESEARCH, CHINESE ACADEMY",ERA20613015,,public,B24648A32A59277EB5B2933F1D593D91,BF67FABBB6A040E31FB5881717ECC02A
ERR10889834,2023/8/19 9:13,2023/8/22 17:52,90105225,27031567500,90105225,300,14597,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/ERR010/10889/ERR10889834/ERR10889834.lite.1,ERX10333380,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP144157,PRJEB59090,,1006968,ERS14644716,SAMEA112646987,simple,4530,Oryza sativa,SAMEA112646987,,,,,,,no,,,,,"NATIONAL CENTER FOR GENE RESEARCH, CHINESE ACADEMY",ERA20613015,,public,72967750E6E0AF6B7DBA239BF86F3687,3923FF8F5FD155B010413989CC714165
ERR10889835,2023/8/19 9:13,2023/8/22 17:40,82957550,24887265000,82957550,300,13431,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/ERR010/10889/ERR10889835/ERR10889835.lite.1,ERX10333381,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP144157,PRJEB59090,,1006968,ERS14644716,SAMEA112646987,simple,4530,Oryza sativa,SAMEA112646987,,,,,,,no,,,,,"NATIONAL CENTER FOR GENE RESEARCH, CHINESE ACADEMY",ERA20613015,,public,BFD0989B904E8A383D4F758A823BD634,329C55554D0BDE1BB4716E7B9D9F1894
ERR10889836,2023/8/19 9:13,2023/8/22 19:53,329222799,98766839700,329222799,300,33033,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/ERR010/10889/ERR10889836/ERR10889836.lite.1,ERX10333382,,OTHER,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP144157,PRJEB59090,,1006968,ERS14644716,SAMEA112646987,simple,4530,Oryza sativa,SAMEA112646987,,,,,,,no,,,,,"NATIONAL CENTER FOR GENE RESEARCH, CHINESE ACADEMY",ERA20613015,,public,F1BCB1BB3389E1933FC2B80D61551AC3,D8AE8D65EA908694590E61364A992016
ERR10889837,2023/8/19 9:13,2023/8/22 18:18,264385571,79315671300,264385571,300,26042,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/ERR010/10889/ERR10889837/ERR10889837.lite.1,ERX10333383,,OTHER,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP144157,PRJEB59090,,1006968,ERS14644716,SAMEA112646987,simple,4530,Oryza sativa,SAMEA112646987,,,,,,,no,,,,,"NATIONAL CENTER FOR GENE RESEARCH, CHINESE ACADEMY",ERA20613015,,public,E2E4C0E4289E6E017F4DDB337E6F0656,07F9C6682703C3CC71F5C8E878AB6CBA
ERR10889838,2023/8/19 9:13,2023/8/22 17:29,50521030,15156309000,50521030,300,7401,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/ERR010/10889/ERR10889838/ERR10889838.lite.1,ERX10333384,,OTHER,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP144157,PRJEB59090,,1006968,ERS14644716,SAMEA112646987,simple,4530,Oryza sativa,SAMEA112646987,,,,,,,no,,,,,"NATIONAL CENTER FOR GENE RESEARCH, CHINESE ACADEMY",ERA20613015,,public,035BE04A3287910077489000C7B86E96,D0B0096EE919B972461241C981B48596
ERR10889839,2023/8/19 9:13,2023/8/22 17:57,160703810,48211143000,160703810,300,23171,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/ERR010/10889/ERR10889839/ERR10889839.lite.1,ERX10333385,,OTHER,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP144157,PRJEB59090,,1006968,ERS14644716,SAMEA112646987,simple,4530,Oryza sativa,SAMEA112646987,,,,,,,no,,,,,"NATIONAL CENTER FOR GENE RESEARCH, CHINESE ACADEMY",ERA20613015,,public,FD41B0379205ABDC76A5F9310E1108EB,21C7742B60051FE85CFCA55C7448973C
ERR10889840,2023/8/19 9:13,2023/8/22 19:36,258472973,77541891900,258472973,300,43618,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/ERR010/10889/ERR10889840/ERR10889840.lite.1,ERX10333386,,OTHER,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP144157,PRJEB59090,,1006968,ERS14644716,SAMEA112646987,simple,4530,Oryza sativa,SAMEA112646987,,,,,,,no,,,,,"NATIONAL CENTER FOR GENE RESEARCH, CHINESE ACADEMY",ERA20613015,,public,D59439A7E92BFFD2F0507FE24A5D39ED,A1A1E5BC90D3770C34B161FAF8C84107
